scenario,year,age_group,share_pct
SSP1,2015,55-59,27.1630
SSP1,2015,60-64,26.9258
SSP1,2015,65-69,17.7973
SSP1,2015,70-74,11.6945
SSP1,2015,75-79,8.3166
SSP1,2015,80+,8.1028
SSP1,2020,55-59,26.8549
SSP1,2020,60-64,22.3549
SSP1,2020,65-69,21.2972
SSP1,2020,70-74,13.1234
SSP1,2020,75-79,7.9409
SSP1,2020,80+,8.4287
SSP1,2025,55-59,28.4063
SSP1,2025,60-64,21.5331
SSP1,2025,65-69,17.3251
SSP1,2025,70-74,15.4685
SSP1,2025,75-79,8.8548
SSP1,2025,80+,8.4121
SSP1,2030,55-59,24.1074
SSP1,2030,60-64,23.9323
SSP1,2030,65-69,17.6231
SSP1,2030,70-74,13.3973
SSP1,2030,75-79,11.1764
SSP1,2030,80+,9.7634
SSP1,2035,55-59,17.2929
SSP1,2035,60-64,22.0961
SSP1,2035,65-69,21.3464
SSP1,2035,70-74,14.9574
SSP1,2035,75-79,10.7590
SSP1,2035,80+,13.5481
SSP1,2040,55-59,17.2402
SSP1,2040,60-64,16.0244
SSP1,2040,65-69,19.9812
SSP1,2040,70-74,18.4233
SSP1,2040,75-79,12.3320
SSP1,2040,80+,15.9990
SSP1,2045,55-59,19.0174
SSP1,2045,60-64,15.6912
SSP1,2045,65-69,14.2795
SSP1,2045,70-74,17.0618
SSP1,2045,75-79,15.0996
SSP1,2045,80+,18.8505
SSP1,2050,55-59,16.0479
SSP1,2050,60-64,17.9328
SSP1,2050,65-69,14.5332
SSP1,2050,70-74,12.7403
SSP1,2050,75-79,14.6936
SSP1,2050,80+,24.0522
SSP2,2015,55-59,27.2560
SSP2,2015,60-64,26.9889
SSP2,2015,65-69,17.8084
SSP2,2015,70-74,11.6731
SSP2,2015,75-79,8.2733
SSP2,2015,80+,8.0003
SSP2,2020,55-59,27.0967
SSP2,2020,60-64,22.4981
SSP2,2020,65-69,21.3372
SSP2,2020,70-74,13.0713
SSP2,2020,75-79,7.8416
SSP2,2020,80+,8.1551
SSP2,2025,55-59,28.8076
SSP2,2025,60-64,21.7861
SSP2,2025,65-69,17.4256
SSP2,2025,70-74,15.3820
SSP2,2025,75-79,8.6734
SSP2,2025,80+,7.9253
SSP2,2030,55-59,24.6352
SSP2,2030,60-64,24.3313
SSP2,2030,65-69,17.7976
SSP2,2030,70-74,13.3545
SSP2,2030,75-79,10.8886
SSP2,2030,80+,8.9928
SSP2,2035,55-59,17.8948
SSP2,2035,60-64,22.7096
SSP2,2035,65-69,21.6930
SSP2,2035,70-74,14.9647
SSP2,2035,75-79,10.4814
SSP2,2035,80+,12.2565
SSP2,2040,55-59,18.0671
SSP2,2040,60-64,16.6933
SSP2,2040,65-69,20.5418
SSP2,2040,70-74,18.5335
SSP2,2040,75-79,12.0289
SSP2,2040,80+,14.1354
SSP2,2045,55-59,20.1911
SSP2,2045,60-64,16.5327
SSP2,2045,65-69,14.8619
SSP2,2045,70-74,17.3337
SSP2,2045,75-79,14.7603
SSP2,2045,80+,16.3202
SSP2,2050,55-59,17.3133
SSP2,2050,60-64,19.1839
SSP2,2050,65-69,15.3129
SSP2,2050,70-74,13.1128
SSP2,2050,75-79,14.4940
SSP2,2050,80+,20.5831
SSP3,2015,55-59,27.3318
SSP3,2015,60-64,27.0446
SSP3,2015,65-69,17.8237
SSP3,2015,70-74,11.6571
SSP3,2015,75-79,8.2341
SSP3,2015,80+,7.9087
SSP3,2020,55-59,27.3212
SSP3,2020,60-64,22.6275
SSP3,2020,65-69,21.3840
SSP3,2020,70-74,13.0261
SSP3,2020,75-79,7.7473
SSP3,2020,80+,7.8938
SSP3,2025,55-59,29.2377
SSP3,2025,60-64,22.0145
SSP3,2025,65-69,17.4890
SSP3,2025,70-74,15.2873
SSP3,2025,75-79,8.4933
SSP3,2025,80+,7.4782
SSP3,2030,55-59,25.2052
SSP3,2030,60-64,24.7718
SSP3,2030,65-69,17.9337
SSP3,2030,70-74,13.2551
SSP3,2030,75-79,10.5707
SSP3,2030,80+,8.2635
SSP3,2035,55-59,18.4994
SSP3,2035,60-64,23.3495
SSP3,2035,65-69,22.0649
SSP3,2035,70-74,14.9228
SSP3,2035,75-79,10.1430
SSP3,2035,80+,11.0205
SSP3,2040,55-59,18.9324
SSP3,2040,60-64,17.3576
SSP3,2040,65-69,21.0877
SSP3,2040,70-74,18.6117
SSP3,2040,75-79,11.6473
SSP3,2040,80+,12.3632
SSP3,2045,55-59,21.4653
SSP3,2045,60-64,17.3971
SSP3,2045,65-69,15.4023
SSP3,2045,70-74,17.5037
SSP3,2045,75-79,14.2991
SSP3,2045,80+,13.9325
SSP3,2050,55-59,18.6855
SSP3,2050,60-64,20.4919
SSP3,2050,65-69,16.0586
SSP3,2050,70-74,13.3606
SSP3,2050,75-79,14.0800
SSP3,2050,80+,17.3235
